"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"53,333333";"68,000001";"69,333333";"75,333333";"77"
"2";"bupa";"54,336136";"53,042017";"52,092437";"53,487396";"54,62605"
"3";"segment";"71,103896";"78,917749";"80,714285";"83,766233";"85,432902"
"4";"waveform-5000";"33,220026";"33,719947";"33,829867";"34,209967";"34,419887"
"5";"phishingData";"79,538311";"81,990156";"82,682013";"82,663759";"83,50959"
"6";"mushroom";"78,545987";"79,893896";"77,689211";"78,317967";"82,723736"
"7";"pima";"63,532979";"66,79853";"66,860901";"68,041693";"68,231374"
"8";"vehicle";"50,041426";"56,284176";"57,362283";"58,681347";"63,536805"
"9";"wilt";"94,936944";"94,875345";"94,606365";"94,64773";"94,80288"
"10";"kr-vs-kp";"59,386853";"63,611825";"65,756564";"67,555643";"69,587333"
"11";"blood-transfusion-service";"72,799999";"75,138739";"76,33874";"75,60901";"76,204504"
"12";"cnae-9";"51,851851";"57,731481";"61,157409";"62,037037";"64,722222"
"13";"connectionist-mines-vs-rocks";"54,595238";"60,04762";"63,333333";"62,321428";"59,595239"
"14";"flare";"33,092424";"32,014507";"29,258874";"30,641878";"30,671097"
"15";"indian-liver-patient";"71,181698";"69,974495";"71,358495";"71,183057";"71,357034"
"16";"leukemia-haslinger";"49";"65,5";"64,5";"68";"71,5"
"17";"mammographic-mass";"74,19318";"73,733656";"76,267306";"79,136266";"79,189477"
"18";"mfeat-karhunen";"32,575";"39,825";"42,55";"47,725";"48,975"
"19";"musk";"88,201723";"91,414053";"92,785243";"93,278288";"94,733031"
"20";"ozone-onehr";"97,00427";"96,726661";"96,864767";"96,964049";"96,964515"
"21";"pendigits";"75,963894";"79,081";"81,341035";"82,305101";"83,165036"
"22";"planning-relax";"71,461986";"70,628653";"70,146197";"69,605261";"70,906431"
"23";"seeds";"71,428571";"82,142856";"80,714285";"83,809525";"82,619049"
"24";"semeion";"22,561835";"29,629106";"34,192874";"39,084857";"40,177715"
"25";"spectf-heart";"69,482258";"71,796917";"70,073295";"74,646357";"72,526844"
"26";"tic-tac-toe";"64,198793";"65,19001";"64,979505";"64,771139";"64,980602"
"27";"twonorm";"83,878381";"84,466294";"84,175349";"84,594714";"84,844625"
"28";"hill-valley-with-noise";"50,94706";"51,735904";"51,258811";"51,440207";"52,934692"
"29";"balance-scale";"46,422004";"45,40243";"47,670125";"53,59596";"55,600233"
"30";"car";"62,182691";"70,024462";"70,255676";"70,024462";"70,024462"
